KODE,NAMA,ID_PROVINSI,NAMA_PROVINSI
1,ACEH SELATAN,11,ACEH
2,ACEH TENGGARA,11,ACEH
3,ACEH TIMUR,11,ACEH
4,ACEH TENGAH,11,ACEH
5,ACEH BARAT,11,ACEH
6,ACEH BESAR,11,ACEH
7,PIDIE,11,ACEH
8,ACEH UTARA,11,ACEH
9,SIMEULUE,11,ACEH
10,ACEH SINGKIL,11,ACEH
11,BIREUEN,11,ACEH
12,ACEH BARAT DAYA,11,ACEH
13,GAYO LUES,11,ACEH
14,ACEH JAYA,11,ACEH
15,NAGAN RAYA,11,ACEH
16,ACEH TAMIANG,11,ACEH
17,BENER MERIAH,11,ACEH
18,PIDIE JAYA,11,ACEH
71,KOTA BANDA ACEH,11,ACEH
72,KOTA SABANG,11,ACEH
73,KOTA LHOKSEUMAWE,11,ACEH
74,KOTA LANGSA,11,ACEH
75,KOTA SUBULUSSALAM,11,ACEH
1,TAPANULI TENGAH,12,SUMATERA UTARA
2,TAPANULI UTARA,12,SUMATERA UTARA
3,TAPANULI SELATAN,12,SUMATERA UTARA
4,NIAS,12,SUMATERA UTARA
5,LANGKAT,12,SUMATERA UTARA
6,KARO,12,SUMATERA UTARA
7,DELI SERDANG,12,SUMATERA UTARA
8,SIMALUNGUN,12,SUMATERA UTARA
9,ASAHAN,12,SUMATERA UTARA
10,LABUHANBATU,12,SUMATERA UTARA
11,DAIRI,12,SUMATERA UTARA
12,TOBA SAMOSIR,12,SUMATERA UTARA
13,MANDAILING NATAL,12,SUMATERA UTARA
14,NIAS SELATAN,12,SUMATERA UTARA
15,PAKPAK BHARAT,12,SUMATERA UTARA
16,HUMBANG HASUNDUTAN,12,SUMATERA UTARA
17,SAMOSIR,12,SUMATERA UTARA
18,SERDANG BEDAGAI,12,SUMATERA UTARA
19,BATU BARA,12,SUMATERA UTARA
20,PADANG LAWAS UTARA,12,SUMATERA UTARA
21,PADANG LAWAS,12,SUMATERA UTARA
22,LABUHANBATU SELATAN,12,SUMATERA UTARA
23,LABUHANBATU UTARA,12,SUMATERA UTARA
24,NIAS UTARA,12,SUMATERA UTARA
25,NIAS BARAT,12,SUMATERA UTARA
71,KOTA MEDAN,12,SUMATERA UTARA
72,KOTA PEMATANG SIANTAR,12,SUMATERA UTARA
73,KOTA SIBOLGA,12,SUMATERA UTARA
74,KOTA TANJUNG BALAI,12,SUMATERA UTARA
75,KOTA BINJAI,12,SUMATERA UTARA
76,KOTA TEBING TINGGI,12,SUMATERA UTARA
77,KOTA PADANGSIDIMPUAN,12,SUMATERA UTARA
78,KOTA GUNUNGSITOLI,12,SUMATERA UTARA
1,PESISIR SELATAN,13,SUMATERA BARAT
2,SOLOK,13,SUMATERA BARAT
3,SIJUNJUNG,13,SUMATERA BARAT
4,TANAH DATAR,13,SUMATERA BARAT
5,PADANG PARIAMAN,13,SUMATERA BARAT
6,AGAM,13,SUMATERA BARAT
7,LIMA PULUH KOTA,13,SUMATERA BARAT
8,PASAMAN,13,SUMATERA BARAT
9,KEPULAUAN MENTAWAI,13,SUMATERA BARAT
10,DHARMASRAYA,13,SUMATERA BARAT
11,SOLOK SELATAN,13,SUMATERA BARAT
12,PASAMAN BARAT,13,SUMATERA BARAT
71,KOTA PADANG,13,SUMATERA BARAT
72,KOTA SOLOK,13,SUMATERA BARAT
73,KOTA SAWAHLUNTO,13,SUMATERA BARAT
74,KOTA PADANG PANJANG,13,SUMATERA BARAT
75,KOTA BUKITTINGGI,13,SUMATERA BARAT
76,KOTA PAYAKUMBUH,13,SUMATERA BARAT
77,KOTA PARIAMAN,13,SUMATERA BARAT
1,KAMPAR,14,RIAU
2,INDRAGIRI HULU,14,RIAU
3,BENGKALIS,14,RIAU
4,INDRAGIRI HILIR,14,RIAU
5,PELALAWAN,14,RIAU
6,ROKAN HULU,14,RIAU
7,ROKAN HILIR,14,RIAU
8,SIAK,14,RIAU
9,KUANTAN SINGINGI,14,RIAU
10,KEPULAUAN MERANTI,14,RIAU
71,KOTA PEKANBARU,14,RIAU
72,KOTA DUMAI,14,RIAU
1,KERINCI,15,JAMBI
2,MERANGIN,15,JAMBI
3,SAROLANGUN,15,JAMBI
4,BATANGHARI,15,JAMBI
5,MUARO JAMBI,15,JAMBI
6,TANJUNG JABUNG BARAT,15,JAMBI
7,TANJUNG JABUNG TIMUR,15,JAMBI
8,BUNGO,15,JAMBI
9,TEBO,15,JAMBI
71,KOTA JAMBI,15,JAMBI
72,KOTA SUNGAI PENUH,15,JAMBI
1,OGAN KOMERING ULU,16,SUMATERA SELATAN
2,OGAN KOMERING ILIR,16,SUMATERA SELATAN
3,MUARA ENIM,16,SUMATERA SELATAN
4,LAHAT,16,SUMATERA SELATAN
5,MUSI RAWAS,16,SUMATERA SELATAN
6,MUSI BANYUASIN,16,SUMATERA SELATAN
7,BANYUASIN,16,SUMATERA SELATAN
8,OGAN KOMERING ULU TIMUR,16,SUMATERA SELATAN
9,OGAN KOMERING ULU SELATAN,16,SUMATERA SELATAN
10,OGAN ILIR,16,SUMATERA SELATAN
11,EMPAT LAWANG,16,SUMATERA SELATAN
12,PENUKAL ABAB LEMATANG ILIR,16,SUMATERA SELATAN
13,MUSI RAWAS UTARA,16,SUMATERA SELATAN
71,KOTA PALEMBANG,16,SUMATERA SELATAN
72,KOTA PAGAR ALAM,16,SUMATERA SELATAN
73,KOTA LUBUK LINGGAU,16,SUMATERA SELATAN
74,KOTA PRABUMULIH,16,SUMATERA SELATAN
1,BENGKULU SELATAN,17,BENGKULU
2,REJANG LEBONG,17,BENGKULU
3,BENGKULU UTARA,17,BENGKULU
4,KAUR,17,BENGKULU
5,SELUMA,17,BENGKULU
